,name,preprocessed
0,A. 고메스,"['네이마르 Jr.', 'D. 마라도나', '리오넬 메시', '루드 굴리트']"
1,A. 골로빈,"['사울', '산티 미나', '악셀 비첼', '루카 모드리치', '루드 굴리트']"
2,A. 과르다도,"['마르코스 로호', 'P. 비에이라', '에마뉘엘 프티', '라파엘 바란', '조던 모리스']"
3,A. 그랑크비스트,"['라파엘 바란', '다비드 루이스', 'R. 푸네스 모리']"
4,A. 그리즈만,"['킬리안 음바페', '모하메드 살라', '가레스 베일', '네이마르 Jr.', '리오넬 메시']"
5,A. 네스타,"['야프 스탐', '라파엘 바란', '파올로 말디니', '솔 캠벨']"
6,A. 데이비스,"['하비 반스', '무사 뎀벨레', '오카자키 신지', '브루누 페레스', '제이미 바디']"
7,A. 델피에로,"['네이마르 Jr.', '에우제비우', '요한 크루이프', '로베르토 바조']"
8,A. 두쿠레,"['A. 셰브첸코', '제롬 보아텡', 'P. 비에이라', '미하엘 발락', '루드 굴리트']"
9,A. 디아와라,"['에마뉘엘 프티', '은골로 캉테', 'P. 비에이라', 'A. 산체스']"
10,A. 라비오,"['은골로 캉테', 'P. 비에이라', '에마뉘엘 프티', '폴 포그바', '루드 굴리트']"
11,A. 라카제트,"['S. 아구에로', '카림 벤제마', 'P. 오바메양', '티에리 앙리', '호나우두']"
12,A. 라포르트,"['제롬 보아텡', 'S. 아구에로', '라파엘 바란', '세르히오 라모스', '파올로 말디니']"
13,A. 로마뇰리,"['조던 헨더슨', '은골로 캉테', 'A. 네스타', '미하엘 발락', '파올로 말디니']"
14,A. 로버트슨,"['호나우두', '카림 벤제마', '모하메드 살라', '홍철', '곤살로 이과인']"
15,A. 루크먼,"['S. 아구에로', '루크 쇼', '구보 다케후사', '제이든 산초']"
16,A. 뤼디거,"['다비드 루이스', '벤 데이비스', 'A. 데이비스', '크리스 스몰링', '대니 로즈']"
17,A. 마르체신,"['제르단 샤키리', '리오넬 메시']"
18,A. 마시엘로,"['벤 포스터', '웨인 헤네시']"
19,A. 모데스테,"['프랑크 리베리', '로멜루 루카쿠', '티에리 앙리', '올리비에 지루', '하석주']"
20,A. 무리치,['라파엘 바란']
21,A. 미트로비치,"['카스퍼 돌베르', '카림 벤제마', '로멜루 루카쿠', '로비 브레이디', 'M. 발로텔리']"
22,A. 밀리크,"['C. 사파타', '무사 시소코', '퀸시 프로머스', '해리 케인', '곤살로 이과인']"
23,A. 바르찰리,"['L. 보누치', 'G. 키엘리니', '파올로 말디니', '루드 굴리트', 'F. 칸나바로']"
24,A. 바스토니,"['커트 주마', '하미레스', '리스 넬슨', '리스 제임스', '루드 굴리트']"
25,A. 발렌시아,"['홍철', '차두리', '카푸', '카일 워커']"
26,A. 베고비치,['G. 돈나룸마']
27,A. 벨로티,"['H. 크레스포', '에딘 제코', '라파엘 바란', '카림 벤제마', '파올로 말디니']"
28,A. 브레메,"['L. 마테우스', '홍철', '카푸', 'P. 비에이라']"
29,A. 사나브리아,['루드 굴리트']
30,A. 산체스,"['네이마르 Jr.', '후안 마타', 'D. 마라도나', '리오넬 메시']"
31,A. 셰브첸코,"['크리스티아누 호날두', 'H. 크레스포', '티에리 앙리', '호나우두']"
32,A. 아레올라,"['이스코', '에런 모이']"
33,A. 아이다라,['테오']
34,A. 야누자이,['후안 마타']
35,A. 야르몰렌코,"['가레스 베일', '로스 바클리', '루드 굴리트', '카일 워커']"
36,A. 엘카야티,"['히바우두', '루드 굴리트', 'S. 베르흐베인']"
37,A. 옥스-체임벌린,"['스티븐 제라드', '제르단 샤키리', '마리오 괴체', '제임스 밀너', '파비뉴']"
38,A. 완-비사카,['세르히오 라모스']
39,A. 외뮈르,"['로만 뷔어키', '리오넬 메시']"
40,A. 윌리엄스,['알렉스 산드루']
41,A. 이사크,"['알반 라퐁', 'A. 데이비스', '킬리안 음바페', '다비드 알라바', '가레스 베일']"
42,A. 지브코비치,['잔루이지 부폰']
43,A. 콘실리,"['P. 비에이라', 'A. 발렌시아', '킬리안 음바페', '카림 벤제마', '카를로스 바카']"
44,A. 콜라로프,"['페를랑 멘디', 'P. 비에이라', '에마뉘엘 프티', '맷 리치', '솔 캠벨']"
45,A. 크라뇨,"['라파엘 바란', '사뮈엘 움티티']"
46,A. 크라마리치,"['H. 크레스포', '에덴 아자르', '맷 리치', '가가와 신지', '호나우두']"
47,A. 크리스텐센,"['다비드 루이스', '라파엘 바란', '크리스 스몰링', 'A. 뤼디거', '파올로 말디니']"
48,A. 클로드-모리스,"['유상철', 'P. 비에이라', '백승호', '이강인', '기성용']"
49,A. 타운젠드,"['헐크', '에우데르 코스타', '가레스 베일', '리로이 자네', '저메인 렌스']"
50,A. 트라오레,"['잔루이지 부폰', 'S. 아구에로', '킬리안 음바페', '폴 포그바', '웨인 루니']"
51,A. 팔로스키,"['크리스티아누 호날두', 'P. 오바메양', 'C. 비에리', '루드 굴리트', '필리포 인자기']"
52,A. 팔로체비치,"['김태영', '양상민']"
53,A. 플로렌치,"['은골로 캉테', '에마뉘엘 프티', '로렌', '홍철', '루드 굴리트']"
54,A. 핀보가손,"['황선홍', 'D. 트레제게', '로멜루 루카쿠', '이동국', '박주영']"
55,A. 하키미,"['주앙 칸셀루', '에덴 아자르', '페를랑 멘디', '홍철', '파올로 말디니']"
56,A. 할릴로비치,['유리 베르치체']
57,B. 고미스,"['카시야스', '티보 쿠르투아', '데헤아']"
58,B. 라우드루프,"['호나우두', '호나우지뉴', '리오넬 메시', '곤살로 이과인']"
59,B. 마르팅스 인디,"['커트 주마', 'M. 더리흐트', 'F. 레이카르트']"
60,B. 마튀이디,"['은골로 캉테', 'P. 비에이라', '에마뉘엘 프티', '악셀 비첼', '라자 나잉골란']"
61,B. 수마레,"['율리안 브란트', '안드레 쉬얼레', '케빈 폴란트', '리오넬 메시', '무사 디아비']"
62,B. 슈바인슈타이거,"['폴 스콜스', '스티븐 제라드', '메수트 외질', '미하엘 발락', '폴 포그바']"
63,B. 아수-에코토,['베투']
64,B. 제마일리,['호나우두']
65,B. 카마라,"['라파엘 바란', '얀 베르통언', '솔 캠벨', '루드 굴리트', '파올로 말디니']"
66,B. 트라우트만,"['E. 가라이', '레프 야신', '가야', '파올로 말디니']"
67,B. 회베데스,"['P. 비에이라', '야프 스탐', '이정수', '홍명보', '파올로 말디니']"
68,C. 그르니에,"['제롬 보아텡', '아르투로 비달', '기성용', '폴 포그바', '히바우두']"
69,C. 로드리게스,"['카시야스', '포르투']"
70,C. 로메로,"['A. 네스타', '하세베 마코토', 'F. 칸나바로']"
71,C. 마르키시오,"['아르투로 비달', '폴 포그바', '루카 모드리치', 'P. 비에이라']"
72,C. 마조,"['야프 스탐', '다니엘 바스', '리오넬 메시']"
73,C. 마켈렐레,"['미하엘 발락', '은골로 캉테', '마리오 괴체', '에마뉘엘 프티']"
74,C. 발데라마,"['마르코스 알론소', '잔프랑코 졸라', '루드 굴리트', '웨인 헤네시']"
75,C. 벤테케,"['M. 발로텔리', 'H. 크레스포', '로멜루 루카쿠', '피터 크라우치']"
76,C. 브라보,"['은골로 캉테', 'P. 비에이라', '에마뉘엘 프티', '페이비언 델프', 'G. 잠브로타']"
77,C. 비에리,"['H. 크레스포', '필리포 인자기', '로멜루 루카쿠', '호나우두']"
78,C. 살세도,"['닉 포프', 'I. 사르', 'A. 베고비치', '에데르']"
79,C. 세이도르프,"['파벨 네드베드', '에마뉘엘 프티', '미하엘 발락', '폴 포그바', '루드 굴리트']"
80,C. 스투아니,"['곽태휘', '헤수스 코로나', '올리비에 지루', '리오넬 메시']"
81,C. 아랑기스,"['마르코 베라티', 'S. 아구에로', '에리크 라멜라', '네마냐 마티치', '루드 굴리트']"
82,C. 에릭센,"['파벨 네드베드', '에릭 다이어', '루카 모드리치', '리오넬 메시', '루드 굴리트']"
83,C. 은쿤쿠,"['리오 퍼디난드', '로이 킨', '아르투로 비달', '폴 포그바', '파올로 말디니']"
84,C. 카터-비커스,"['테오', '주앙 칸셀루', '아드리안 마린', '홍철', '파올로 말디니']"
85,C. 캐스카트,"['A. 고메스', 'D. 카를루스', '네이마르 Jr.', '에릭 바이']"
86,C. 쿠아메,"['카일 워커', '주앙 펠릭스']"
87,C. 크라머,"['하미레스', '은골로 캉테', '홍철', 'A. 과르다도', '조르디 알바']"
88,C. 테베스,"['S. 아구에로', '웨인 루니', '리오넬 메시', 'D. 트레제게']"
89,C. 푸욜,"['피케', '라파엘 바란', '파올로 말디니', 'F. 칸나바로']"
90,C. 풀리식,"['에덴 아자르', '차범근', '페드로', '네이마르 Jr.', '윌리안']"
91,C. 피사로,"['P. 비에이라', '에마뉘엘 프티', '마티외 드뷔시', '데쿠', '올리비에 지루']"
92,C. 허드슨-오도이,"['이강인', '김신욱', '리오넬 메시', '루드 굴리트', '하석주']"
93,D. 그레이,['잔프랑코 졸라']
94,D. 데로시,"['은골로 캉테', '루드 굴리트', 'P. 비에이라', '에마뉘엘 프티']"
95,D. 듀헤이니,"['나니', '가가와 신지']"
96,D. 드로그바,"['S. 아구에로', '지네딘 지단', '웨인 루니', '프랭크 램파드']"
97,D. 드링크워터,"['헐크', '리스 넬슨', '로멜루 루카쿠', '포르투', '호나우두']"
98,D. 루가니,"['은골로 캉테', '박지성', '홍철', '카일 워커', '제이미 바디']"
99,D. 리바코비치,"['토마 르마르', '닉 포프', '벤 포스터', '데헤아', 'A. 베고비치']"
100,D. 마라도나,"['네이마르 Jr.', '펠레', '가레스 베일', '리오넬 메시']"
101,D. 메르턴스,"['네이마르 Jr.', '에덴 아자르', '리오넬 메시', '킬리안 음바페']"
102,D. 반더베이크,"['미하엘 발락', '데일리 블린트', 'F. 레이카르트', '나이젤 더용', '루드 굴리트']"
103,D. 베날리오,"['리스 넬슨', '라파엘 바란', '이니에스타', 'A. 고메스', '세르히오 라모스']"
104,D. 베라르디,"['리오넬 메시', '리로이 자네', '사디오 마네', '나비 케이타']"
105,D. 베르캄프,"['프랭크 램파드', '요한 크루이프', '루드 굴리트', '티에리 앙리']"
106,D. 보네라,['카일 워커']
107,D. 브룩스,"['라이언 긱스', '가레스 베일', '베베']"
108,D. 사마세쿠,"['로만 뷔어키', '김신욱', '조지 베스트']"
109,D. 소보슬러이,"['L. 마테우스', '하네스 볼프', '티모 베르너']"
110,D. 수바시치,"['김정민', 'A. 베고비치', '데헤아']"
111,D. 스터리지,"['가레스 베일', '해리 케인', '모하메드 살라', '페르난도 토레스']"
112,D. 오스피나,"['조르디 알바', '클레망 랑글레', '뤼카 디뉴', '루드 굴리트']"
113,D. 우파메카노,"['디아프라 사코', '라파엘 바란', '솔 캠벨', '세르히오 라모스', '파올로 말디니']"
114,D. 자카리아,"['커트 주마', '야야 사노고', '파비뉴', 'P. 비에이라']"
115,D. 차파코스타,"['프레디 과린', '홍철', 'F. 페레이라', '카일 워커', '히카르두 굴라르']"
116,D. 체리셰프,['헤수스 코로나']
117,D. 치그린스키,"['솔 캠벨', '사뮈엘 움티티', '호나우두']"
118,D. 코브나츠키,"['주앙 칸셀루', '홍철', '네이마르 Jr.', '넬송 세메두', '카일 워커']"
119,D. 트레제게,"['크리스티아누 호날두', '해리 케인', '얀 콜러', '티에리 앙리']"
120,D. 파예트,"['윌프리드 자하', 'P. 비에이라', '에마뉘엘 프티', '유라이 쿠츠카', '루드 굴리트']"
121,D. 프뢰퍼르,"['H. 크레스포', '에딘 제코', '크리스티아누 호날두', '치로 임모빌레', '시모네 차차']"
122,E. 가라이,"['밀란 바델', '크리스티아누 호날두', 'P. 오바메양', 'D. 데로시', '파비뉴']"
123,E. 데르디요크,"['P. 비에이라', '에마뉘엘 프티', '김신욱', '얀 콜러', '루드 굴리트']"
124,E. 망갈라,"['니콜라 페페', '헤수스 코로나', '이정수', '포르투', '브루누 알베스']"
125,E. 무뇨스,"['마르코스 로호', '페를랑 멘디', '무사 뎀벨레']"
126,E. 바르가스,"['페이비언 델프', '루드 굴리트', '크리스티아누 호날두']"
127,E. 반데르사르,"['미하엘 발락', '루드 굴리트', 'P. 비에이라', '데헤아']"
128,E. 발렌시아,"['존 테리', '웨스 모건', '조니', '조니 에번스']"
129,E. 비비아노,"['M. 테어슈테겐', 'A. 베고비치']"
130,E. 살비오,"['하울', '가레스 베일', '솔 캠벨', '앙헬 코레아', '파올로 말디니']"
131,E. 아데바요르,"['로빈 반페르시', 'M. 발로텔리', '에딘 제코', 'D. 트레제게']"
132,E. 알바레스,"['닉 포프', '포르투']"
133,E. 인수아,"['테오', '무사 시소코', '엠레 잔', '파비뉴', '마르셀루']"
134,E. 포르스베리,"['크리스티아누 호날두', '루드 굴리트', 'P. 비에이라']"
135,E. 플로레스,['P. 비에이라']
136,E. 홀란,"['루드 굴리트', '로멜루 루카쿠', 'P. 오바메양', '마르코 로이스']"
137,F. 노이하우스,"['프렝키 더용', '베론', '아르투로 비달', '레온 고레츠카', '미하엘 발락']"
138,F. 레이카르트,"['파올로 말디니', '루드 굴리트', 'P. 비에이라', '에마뉘엘 프티']"
139,F. 마냐넬리,['안드레 아이유']
140,F. 마르케티,"['잔루이지 부폰', '리스 넬슨', '에데르', '데헤아', '카시야스']"
141,F. 마케다,['루드 굴리트']
142,F. 무슬레라,"['D. 트레제게', '로멜루 루카쿠']"
143,F. 바스케스,"['에마뉘엘 프티', 'P. 오바메양', '네이마르 Jr.', '폴 포그바', '리오넬 메시']"
144,F. 발베르데,"['젠나로 가투소', '아르투로 비달', '가레스 베일', '루카 모드리치', '가야']"
145,F. 베르나르데스키,"['다비드 루이스', '크리스티아누 호날두', '제르단 샤키리', '가레스 베일', '리오넬 메시']"
146,F. 벤코비치,"['은골로 캉테', 'P. 비에이라', '에마뉘엘 프티', '루카스 파케타', '루드 굴리트']"
147,F. 아르마니,"['닉 포프', '유리 베르치체', 'M. 발로텔리', '이승우', '마츠 후멜스']"
148,F. 아체르비,"['알반 라퐁', '틸로 케흐러', '라파엘 바란', 'G. 키엘리니', 'F. 레이카르트']"
149,F. 카이세도,['콰조 아사모아']
150,F. 칸나바로,"['P. 비에이라', '라파엘 바란', '세르히오 라모스', '파올로 말디니']"
151,F. 코스티치,"['야리 리트마넨', '가레스 베일', '하세베 마코토', '루이스 피구']"
152,F. 코클랭,"['에덴 아자르', 'A. 발렌시아', '곤살루 게드스', '네이마르 Jr.', '다비드 실바']"
153,F. 콸리아렐라,"['크리스티아누 호날두', 'D. 트레제게', 'C. 비에리', 'M. 발로텔리', '필리포 인자기']"
154,F. 키에사,"['S. 엘샤라위', '에덴 아자르', '손흥민', 'A. 델피에로', '제이든 산초']"
155,F. 파슬라크,"['L. 마테우스', '하파엘', '홍철', '카일 워커', '리오넬 메시']"
156,F. 파시오,"['조던 헨더슨', '스티븐 제라드', '케파', '제임스 밀너', '파비뉴']"
157,F. 페레이라,"['가리 메델', '에마뉘엘 프티']"
158,F. 포레스티에리,"['C. 비에리', '티에리 앙리', '페르난도 가고', '페르난도 토레스']"
159,G. 도스산토스,"['조지 알티도어', '로멜루 루카쿠', '유리 베르치체', '리오넬 메시', '티머시 웨아']"
160,G. 돈나룸마,"['리스 넬슨', '데헤아', '페페 레이나', 'A. 베고비치', '티보 쿠르투아']"
161,G. 디로렌초,['잔프랑코 졸라']
162,G. 라미레스,"['톰 히턴', '티보 쿠르투아']"
163,G. 베이날둠,"['조던 헨더슨', 'L. 보누치', '에마뉘엘 프티', '제임스 밀너', '루드 굴리트']"
164,G. 보나벤투라,"['테오', '홍철', '다비드 알라바', '알렉스 산드루', '알렉스 메레트']"
165,G. 셴니코프,"['홍철', '루크 쇼', '루드 굴리트', '카일 워커']"
166,G. 시구르드손,"['페트르 체흐', '알렉스 산드루', 'K. 훈텔라르']"
167,G. 오초아,['로비 브레이디']
168,G. 잠브로타,"['세르히오 라모스', '루드 굴리트', 'P. 비에이라', '에마뉘엘 프티']"
169,G. 카스트로,"['에딘 제코', '도안 리쓰', '크리스티아누 호날두', '해리 케인', '루카스 모라']"
170,G. 콘도그비아,"['하미레스', 'P. 비에이라', '에마뉘엘 프티', '홍철', '파올로 말디니']"
171,G. 키엘리니,"['L. 보누치', 'F. 칸나바로', '킬리안 음바페', '파올로 말디니']"
172,G. 파치니,"['P. 비에이라', '야프 스탐', '잔프랑코 졸라', '로스 바클리', '세르히오 라모스']"
173,H. 미키타리안,"['에덴 아자르', '킬리안 음바페', '네이마르 Jr.', '리오넬 메시', '쿠티뉴']"
174,H. 바트슈투버,"['제롬 보아텡', '야프 스탐', 'L. 에르난데스', '솔 캠벨', '파올로 말디니']"
175,H. 세페로비치,"['올리버 핑크', '저메인 데포', '해리 케인', '로멜루 루카쿠']"
176,H. 스토이치코프,"['네이마르 Jr.', '펠레', '가레스 베일', '리오넬 메시']"
177,H. 오니에쿠루,"['메수트 외질', '네이마르 Jr.']"
178,H. 크레스포,"['A. 셰브첸코', '크리스티아누 호날두', '티에리 앙리', '호나우두']"
179,I. 벤나세르,"['P. 비에이라', '로랑 블랑', 'F. 레이카르트', '루드 굴리트', '파올로 말디니']"
180,I. 사르,"['H. 크레스포', '리오넬 메시', '히바우두']"
181,I. 상가레,"['라힘 스털링', 'A. 데이비스', '가레스 베일', '네이마르 Jr.', '리오넬 메시']"
182,I. 슬리마니,"['H. 크레스포', 'C. 비에리', '김신욱', '올리비에 지루', '얀 콜러']"
183,I. 아바테,['홍철']
184,I. 아펠라이,"['맷 리치', '레온 고레츠카', '미하엘 발락', '이스코', '알마미 투레']"
185,I. 코나테,"['P. 비에이라', '에릭 바이', '라파엘 바란', '김민재', '루드 굴리트']"
186,J. 가야르도,"['조던 헨더슨', '무사 시소코', '데클런 라이스']"
187,J. 그뷔드뮌손,"['크리스티아누 호날두', '킬리안 음바페', '가레스 베일', '마르셀루', '호나우두']"
188,J. 데구스만,"['김신욱', '얀 콜러']"
189,J. 데나이어,"['라파엘 바란', '제프리 브뤼마', '세르히오 라모스', 'M. 더리흐트', '파올로 말디니']"
190,J. 데이비드,"['로만 뷔어키', '디에고 고딘', '케일러 나바스', '안드리 루닌', 'L. 로페스']"
191,J. 드락슬러,"['토마스 뮐러', '네이마르 Jr.', '카푸', '루드 굴리트']"
192,J. 딜로순,"['리스 넬슨', 'P. 오바메양', '홍철', '솔 캠벨', '티에리 앙리']"
193,J. 라도셰비치,['루드 굴리트']
194,J. 라르센,"['에덴 아자르', '손흥민', '페르난도 토레스', '하네스 볼프', '빅터 오시멘']"
195,J. 라티보디어,['네이마르 Jr.']
196,J. 렌-아델라이드,"['은골로 캉테', 'P. 비에이라', '무사 디아비']"
197,J. 로드리게스,"['토마스 뮐러', 'P. 비에이라', 'C. 로드리게스', '리오넬 메시', '루드 굴리트']"
198,J. 로카디아,"['P. 오바메양', '홍철', '야야 사노고', '루드 굴리트', '파올로 말디니']"
199,J. 리트발트,"['이정수', 'I. 사르', '예트로 빌럼스', '에마뉘엘 프티']"
200,J. 마르티네스,"['나니', '키코 카시야', 'M. 더리흐트']"
201,J. 마스체라노,"['C. 푸욜', '피케', '조엘 마티프', '은골로 캉테']"
202,J. 바에베크,"['하미레스', '프랭크 램파드', '로스 바클리', '미하엘 발락', '루드 굴리트']"
203,J. 바움가르틀링어,"['M. 펠라이니', '라파엘 바란', '루드 굴리트', 'P. 비에이라']"
204,J. 브레칼로,['앙헬 디마리아']
205,J. 브와슈치코프스키,"['P. 비에이라', '야프 스탐', '솔 캠벨', '소크라티스', '파올로 말디니']"
206,J. 사네티,"['주앙 칸셀루', '하미레스', '카푸', '카일 워커', '알렉스 산드루']"
207,J. 세리,"['L. 마테우스', '로만 뷔어키', '은골로 캉테', '도안 리쓰']"
208,J. 스하우턴,['레온 고레츠카']
209,J. 실러선,"['라이언 바벨', 'G. 카스트로', '플로리앙 토뱅', 'M. 발로텔리', '팔카오']"
210,J. 오코차,"['D. 베르캄프', '로베르 피레스', '킬리안 음바페', '에릭 다이어', '티에리 앙리']"
211,J. 일리치치,"['커트 주마', '나우두', '카이 하베르츠', '루드 굴리트', '브루누 알베스']"
212,J. 지바망,"['리스 넬슨', '페를랑 멘디', '카일 워커', '조르디 알바', '앙헬리뇨']"
213,J. 클라위베르트,"['리오넬 메시', '퀸시 프로머스', '에덴 아자르', '네이마르 Jr.']"
214,J. 킨테로,['이청용']
215,J. 파르판,"['미켈 두엘룬', '리오넬 메시', '미하엘 발락']"
216,J. 파블렌카,"['피케', '시오 월콧']"
217,J. 파스토레,"['S. 아구에로', '후벵 디아스', '루드 굴리트', 'J. 드락슬러']"
218,J. 하우벨레우,"['가브리엘', '마티외 드뷔시']"
219,J. 히메네스,"['라파엘 바란', '디에고 고딘', '파올로 말디니', '호나우두']"
220,K. 더브라위너,"['파벨 네드베드', '에마뉘엘 프티', '미하엘 발락', '폴 포그바', '루드 굴리트']"
221,K. 데미르바이,"['에릭 바이', '토니 빌레나', '미하엘 발락', '루카 모드리치', '루드 굴리트']"
222,K. 마놀라스,"['P. 비에이라', '라파엘 바란', '이정수', '세르히오 라모스', '파올로 말디니']"
223,K. 보아텡,"['제롬 보아텡', '에마뉘엘 프티', '킬리안 음바페', '레온 고레츠카', '루드 굴리트']"
224,K. 슈마이켈,"['서동명', '루드 굴리트']"
225,K. 스트로트만,"['파벨 네드베드', '에릭 바이', '에릭 다이어', 'F. 레이카르트', '루드 굴리트']"
226,K. 욘손,"['P. 비에이라', '로멜루 루카쿠', '홍철', '조르디 알바', '알렉스 산드루']"
227,K. 이헤나초,"['라파엘 바란', 'P. 오바메양', 'D. 스터리지', 'D. 그레이', '필리포 인자기']"
228,K. 쿨리바리,"['라파엘 바란', '솔 캠벨', '세르히오 라모스', '루드 굴리트', '파올로 말디니']"
229,K. 트리피어,"['C. 마르키시오', '니코 슐츠', '후안프란', '홍철', 'F. 칸나바로']"
230,K. 피옹테크,"['이동국', '해리 케인', '황의조', '루드 굴리트', '곤살로 이과인']"
231,K. 훈텔라르,"['니콜라 페페', 'A. 발렌시아', '라파엘 바란', '세르히오 라모스', 'M. 슈크르텔']"
232,L. 달베스,"['루드 굴리트', '마츠 후멜스', 'F. 레이카르트']"
233,L. 람프루,['A. 메르켈']
234,L. 로드리게스,['니코 슐츠']
235,L. 로페스,"['펠레', 'R. 말리노프스키', '카림 벤제마', '리오넬 메시']"
236,L. 마르코비치,['마르코 로이스']
237,L. 마르티네스,"['로멜루 루카쿠', '이니에스타', '아르투로 비달', '루드 굴리트', '쿠티뉴']"
238,L. 마테우스,"['파벨 네드베드', '루드 굴리트', 'P. 비에이라', '에마뉘엘 프티']"
239,L. 므체들리제,['에반데르']
240,L. 밀리보예비치,"['S. 아구에로', '홍철', '에릭 다이어', '조지 베스트', '다닐루']"
241,L. 보누치,"['P. 비에이라', 'G. 키엘리니', '세르히오 라모스', '파올로 말디니']"
242,L. 수아레스,"['S. 아구에로', '크리스티아누 호날두', '리오넬 메시', '호나우두']"
243,L. 아우구스틴손,"['라파엘 바란', '세르히오 라모스', '파올로 말디니']"
244,L. 아조르크,"['킬리안 음바페', '리오넬 메시']"
245,L. 에르난데스,"['뤼카 디뉴', '라파엘 바란', '제롬 보아텡', '프랑크 리베리']"
246,L. 오캄포스,"['산티 미나', '페르난도 토레스', '크리스티아누 호날두', '루드 굴리트', '호나우두']"
247,L. 운네스탈,"['크리스티아누 호날두', '리스 넬슨', '루드 굴리트', '손흥민']"
248,L. 카리우스,"['테오', '알리송', '데헤아', '홍철', '카시야스']"
249,L. 크리스토둘로풀로스,['레온 고레츠카']
250,L. 토레이라,"['은골로 캉테', 'P. 비에이라', '에마뉘엘 프티', '그라니트 자카', '팔카오']"
251,L. 파레데스,"['스티븐 제라드', '헤수스 코로나', '마르코 베라티', '이드리사 게예']"
252,L. 파볼레티,"['F. 페레이라', '히카르두 굴라르']"
253,L. 파비안스키,"['커트 주마', '가레스 베일', '콰조 아사모아', '황의조', '파올로 말디니']"
254,L. 페이사,"['윤영선', '라파엘 바란', 'F. 레이카르트', '소크라티스', '파올로 말디니']"
255,L. 펠레그리니,"['다비드 알라바', 'R. 버트란드']"
256,L. 포돌스키,"['피케', '라파엘 바란', '세르지오 부스케츠', '클레망 랑글레', '파올로 말디니']"
257,L. 피슈체크,"['테오', '세르히오 라모스', '카일 워커', '파올로 말디니']"
258,L. 흐라데키,"['에덴 아자르', '손흥민', '폴 스콜스', '그라니트 자카', '호나우두']"
259,M. 가비아디니,['헤수스 코로나']
260,M. 고메스,"['산티 미나', 'S. 아구에로', '라파엘 바란', 'D. 데로시', '주앙 펠릭스']"
261,M. 그루이치,"['테오', '케빈 음바부', '홍철', '카일 워커', '리오넬 메시']"
262,M. 나스타시치,"['라파엘 바란', '제롬 보아텡', '파올로 말디니']"
263,M. 다르미안,"['리오넬 메시', '모하메드 살라']"
264,M. 다후드,"['루드 굴리트', '크리스 우드']"
265,M. 더리흐트,"['P. 비에이라', '라파엘 바란', '세르히오 라모스', '파올로 말디니']"
266,M. 데스트로,['킬리안 음바페']
267,M. 라우드루프,"['B. 라우드루프', '크리스 우드', '네이마르 Jr.', '페드로 포로', '루드 굴리트']"
